"cell_id";"czi";"series_id";"cell_seg_id";"condition";"cell_type";"structure";"scope";"minipipeline";"dna_volume";"dna_shape_1st_axis_x";"dna_shape_1st_axis_y";"dna_shape_1st_axis_z";"dna_shape_2nd_axis_x";"dna_shape_2nd_axis_y";"dna_shape_2nd_axis_z";"dna_shape_3rd_axis_x";"dna_shape_3rd_axis_y";"dna_shape_3rd_axis_z";"dna_shape_1st_axis_length";"dna_shape_2nd_axis_length";"dna_shape_3rd_axis_length";"dna_shape_1st_eigenvalue";"dna_shape_2nd_eigenvalue";"dna_shape_3rd_eigenvalue";"dna_shape_meridional_eccentricity";"dna_shape_equator_eccentricity";"dna_position_lowest_z";"dna_position_highest_z";"dna_position_x_centroid";"dna_position_y_centroid";"dna_position_z_centroid";"dna_intensity_mean";"dna_intensity_median";"dna_intensity_sum";"dna_intensity_mode";"dna_intensity_max";"dna_intensity_std";"dna_intensity_entropy";"dna_texture_haralick_ang2nd_moment";"dna_texture_haralick_contrast";"dna_texture_haralick_corr";"dna_texture_haralick_variance";"dna_texture_haralick_inv_diff_moment";"dna_texture_haralick_sum_mean";"dna_texture_haralick_sum_var";"dna_texture_haralick_sum_entropy";"dna_texture_haralick_entropy";"dna_texture_haralick_diff_var";"dna_texture_haralick_diff_entropy";"dna_texture_haralick_info_corr1";"dna_texture_haralick_info_corr2";"dna_io_intensity_outer_volume";"dna_io_intensity_outer_mean";"dna_io_intensity_outer_slice_mean";"dna_io_intensity_mid_volume";"dna_io_intensity_mid_mean";"dna_io_intensity_mid_slice_mean";"dna_io_intensity_inner_volume";"dna_io_intensity_inner_mean";"dna_io_intensity_inner_slice_mean";"dna_bright_spots_number";"dna_bright_spots_number_used";"dna_bright_spots_intensity_mean";"dna_bright_spots_xy_cross_sec_area_mean";"dna_bright_spots_xy_cross_sec_area_std";"dna_surface_area";"dna_roundness_sphericity";"dna_roundness_roughness";"dna_roundness_roughness_xy";"dna_roundness_roughness_xz";"dna_roundness_roughness_yz";"dna_io_intensity_ratio";"dna_io_intensity_ratio_slice";"dna_bright_spots_intensity_mean_norm";"dna_bright_spots_xy_rad";"date";"group";"outlier"
"20181016_R01-Scene-21-P27-B05_seg_0_cid_7";"20181016_R01.czi";20;7;"TSA-50nm";"hiPS";"CBX1";"ZSD";"no";377331;0.66123410973734;0.746876189780519;-0.0703236038524923;0.747536692093421;-0.648141155902778;0.145265054293992;-0.0629153883711535;0.148623683052014;0.986890396519371;131.721083075765;94.455980433949;52.3139563981182;144.694568315091;484.097502031888;980.368338859204;0.989048324478372;0.95428584600503;0;50;55.5547781655894;57.3909723823381;23.0540347864342;628.244742679504;667;237056217;679;965;150.651593149999;5.81442703204803;0.00040532187617142;407.53308803356;0.741147284889391;830.88754417023;0.10549735415416;309.89316009143;2916.01708864737;7.45748846816665;12.0249143806213;0.000164144121935934;4.9352382262939;-0.149995021907377;0.914653710993777;82833;566.506078495286;651.312605042017;63405;686.254033593565;694.127715030408;132307;697.946609022954;706.236221837088;3;3;815.565626727474;87.6666666666667;52.6898683071254;39434;0.954212159676113;11.0115467978201;6.78796837675592;10.8649879821144;11.8754866060513;0.825504916202503;0.938318109101124;1.29816546215577;5.28253411619641;"D20181016";"CBX1 TSA-50nm D20181016";"no"
"20181016_R01-Scene-21-P27-B05_seg_0_cid_8";"20181016_R01.czi";20;8;"TSA-50nm";"hiPS";"CBX1";"ZSD";"no";423224;0.738697023600396;-0.673891943824013;0.0140126861454243;-0.667608032149586;-0.734357133341884;-0.122552503520931;-0.0928774608463926;-0.0811741877630122;0.992363103157177;137.271595824078;101.846249939291;50.6786764287225;142.827780783257;574.57587194672;1089.16607441417;0.99136452163536;0.968611498003047;0;47;66.9665874336049;65.7584612403833;22.0878943538174;656.834328866038;692;277988052;710;1196;153.648890419185;5.93705657166579;0.000506300327232588;266.45291749448;0.767418984744294;599.263991602457;0.120241233325772;246.473235713022;2130.60304891535;7.33816945107325;11.715971594741;0.000191011537028186;4.71702200811588;-0.162734042014212;0.924210741504392;87719;590.998552195077;687.389992057188;70300;713.136045519203;724.179357021997;159264;721.102326953988;721.744986092812;8;8;926.736997663023;91.5;157.02149534379;42574;0.951907070766985;12.1066364473827;7.68327339290424;13.3079889430243;12.5473959518764;0.828731847041608;0.949198545073012;1.41091437663276;5.39679113787229;"D20181016";"CBX1 TSA-50nm D20181016";"no"
"20181016_R01-Scene-21-P27-B05_seg_0_cid_9";"20181016_R01.czi";20;9;"TSA-50nm";"hiPS";"CBX1";"ZSD";"no";366581;0.207014159072939;0.978337654574708;0.000756032131651398;0.978255870504359;-0.20700673983217;0.0127930249673617;-0.0126724017882658;0.00190874443453959;0.99991788009196;139.941365380226;93.7145741994521;50.6543277716603;142.499799774495;431.609223873631;1180.95853321865;0.992693342652046;0.94392522785807;0;50;50.079826832269;61.3632566881535;23.1470670874923;588.982383156792;628;215909751;631;922;144.394787652556;5.72024827302237;0.000456533493605369;411.418269110809;0.715638918521581;766.248312444005;0.109309977868926;303.407930504272;2653.57498066519;7.36285584713635;11.8780048678259;0.000170233087937043;4.89848529296694;-0.145367779201814;0.905820664650846;90895;544.052137081248;626.10989010989;66133;649.601772186352;659.621690862511;102799;659.583857819629;656.867783321454;6;6;793.677250505877;46;36.9954952212653;39692;0.933215920112861;13.1301415750353;10.8994736512398;8.57376979390884;16.9129562625065;0.837516399085769;0.949195423351223;1.34753988099266;3.82651992866291;"D20181016";"CBX1 TSA-50nm D20181016";"no"
"20181016_R01-Scene-21-P27-B05_seg_0_cid_10";"20181016_R01.czi";20;10;"TSA-50nm";"hiPS";"CBX1";"ZSD";"no";494562;0.596380165354022;-0.802150708479091;0.0297479286472431;-0.777317064784796;-0.586369515023747;-0.22792317268142;-0.200272012939049;-0.112805286832256;0.973224582558432;144.039275525139;118.05017645254;58.2544439408315;153.615317843394;685.813306496562;1122.17465396268;0.990586152504287;0.974591444122212;0;55;65.9271132840776;68.8979966111428;24.9349464778936;673.523671450698;715;333099214;738;1236;164.946832412066;5.95871181214946;0.000557063730754657;282.254066485577;0.774007153885237;656.183334093583;0.124683248183036;255.552226959094;2342.47926988875;7.29547429652461;11.5952650831828;0.000197010605558266;4.69696873286375;-0.169038887790989;0.928812786832584;106158;597.338015034194;672.634898388227;81552;742.558674220129;748.970797720798;179726;750.483702970077;755.637030995106;9;9;1004.83776384074;25.3333333333333;6.79869268479038;49098;0.920069583998827;12.2236572456377;8.00040616645085;12.2648817885018;13.5702634755252;0.804432074895021;0.898078937703754;1.49191157851428;2.83969196392661;"D20181016";"CBX1 TSA-50nm D20181016";"no"
"20181016_R01-Scene-21-P27-B05_seg_0_cid_11";"20181016_R01.czi";20;11;"TSA-50nm";"hiPS";"CBX1";"ZSD";"no";690843;0.956817727554927;0.290333037107233;0.0143723276025945;0.290561766178873;-0.956690834023283;-0.0177906753904626;-0.0085846532626801;-0.021198482491081;0.999738429824739;138.175265252824;131.851216141526;67.1018816978473;253.862892493483;915.379807735375;1015.60389585912;0.968255517301529;0.960774531942146;0;66;68.1748168541912;69.1099888107718;27.3880751487675;692.283799647677;723;478259417;736;1364;150.569243275427;5.93803453873548;0.000691994461415476;189.72903362278;0.774979601619604;437.410371904001;0.136060307890181;222.908640418093;1559.91245399323;7.10708524079006;11.2947048040149;0.000222024316220908;4.49901483939828;-0.161340788176255;0.917815985551456;118114;608.685109301184;694.190121786198;95254;741.215203561005;746.439705882353;333992;750.822962825457;751.311449744286;15;15;993.147490429201;68.8;118.744094590005;58388;0.964929925106376;10.6131332617882;2.50424998325595;12.7803719971158;12.3580689688906;0.821198899289828;0.930001601355876;1.43459588529248;4.67971368455858;"D20181016";"CBX1 TSA-50nm D20181016";"no"
"20181016_R01-Scene-21-P27-B05_seg_0_cid_12";"20181016_R01.czi";20;12;"TSA-50nm";"hiPS";"CBX1";"ZSD";"no";368892;0.419605712998502;-0.896630766683193;0.141365886465328;-0.892078085910562;-0.436124739262205;-0.11828736382903;-0.167713250094219;0.0764753557728461;0.982865090285666;117.503336032375;98.8309957942356;59.3227006049272;177.632687313086;497.754015767204;736.082184350475;0.97044514658243;0.934154662488265;0;55;49.9154630623597;57.9249780423539;28.0504022857639;651.140084360734;688;240200368;706;1023;148.724056426807;5.84001391194047;0.000405966316288301;355.992060542622;0.753788000567882;756.89558678539;0.107996466611331;295.603575128923;2671.59028659895;7.46232935516256;11.9851828044212;0.000169878916407538;4.87367098271113;-0.154991051288849;0.919656450674308;75681;589.39348053012;660.215789473684;57024;704.164509680135;708.755467196819;145753;716.340404657194;726.514674020091;2;2;875.352246763138;57;44;37730;0.983082990360593;8.35984630931725;3.85202321983305;8.80203409384516;10.6413950858545;0.837011056972824;0.931514210514505;1.34433782804591;4.25953794588991;"D20181016";"CBX1 TSA-50nm D20181016";"no"
"20181016_R01-Scene-21-P27-B05_seg_0_cid_13";"20181016_R01.czi";20;13;"TSA-50nm";"hiPS";"CBX1";"ZSD";"no";605109;-0.209844910300189;0.976353960582705;-0.0519428269886427;0.948821474407734;0.216175852199272;0.23022990819755;-0.236014667603179;0.000971895254134488;0.971749006737736;163.050263433709;128.278117998247;60.0147757148806;155.297360334801;758.604485743997;1547.06353777629;0.994948968744292;0.978821720965392;0;55;66.1067097002358;81.8952734135503;27.6188042154389;657.57243570993;698;397902999;723;1019;159.531138100101;5.95723993416003;0.000343835025872446;416.696174206157;0.774291855306584;967.428353255465;0.103540664231596;308.395269648808;3453.01723881571;7.63410799902697;12.2175027560268;0.000159737368249337;4.96732474089214;-0.165536303898486;0.933533219227409;128051;588.561003037852;645.534602076125;101904;729.509616894332;750.524645892351;220894;720.41709145563;720.660023866348;5;5;883.107841119214;59.4;31.6960565370521;57332;0.901275484711023;14.9378186791615;10.0777522003436;13.4206891950184;19.2900599625576;0.806789916688794;0.860111131072323;1.34298184224494;4.34828785147869;"D20181016";"CBX1 TSA-50nm D20181016";"no"
"20181016_R01-Scene-21-P27-B05_seg_0_cid_14";"20181016_R01.czi";20;14;"TSA-50nm";"hiPS";"CBX1";"ZSD";"no";521872;0.156268684622372;0.987471371064975;0.0219177903414482;0.976763418655833;-0.157793266106276;0.145032786456316;-0.146674204215202;0.0012555869433509;0.989184058362884;144.862315496983;115.892917054288;59.5724889678041;178.263170210649;673.601103402623;1140.49379034978;0.987709074651007;0.96434671701497;0;55;58.6082008615139;69.1792642640341;25.6105271024312;709.7467195021;750;370396940;772;1260;172.209021175787;6.06046706361128;0.000433937624385775;281.828346173008;0.781961144122976;673.800385599393;0.114406416757973;256.469055622811;2413.37319622456;7.4432362149902;11.9016419640402;0.000180691454393611;4.78464485464503;-0.164197787668496;0.928418040049866;110736;630.806964311516;730.987315010571;86198;783.189053110281;799.67955801105;192401;783.679019339816;777.741914364279;13;13;1014.4003152197;29.6153846153846;16.3214745824138;49644;0.943552026098837;12.0515340080654;7.06828987045382;11.1417907956801;15.9194910912693;0.805433837215153;0.91410028890656;1.42924269650914;3.07032078229821;"D20181016";"CBX1 TSA-50nm D20181016";"no"
"20181016_R01-Scene-22-P30-B05_seg_0_cid_2";"20181016_R01.czi";21;2;"TSA-50nm";"hiPS";"CBX1";"ZSD";"no";403650;-0.622690618128661;-0.782430097534801;-0.00771599418270949;-0.586261590032253;0.473057056792636;-0.657658246410355;-0.518221711381722;0.40499402895644;0.753276904174175;150.284110271299;87.2366786568781;66.4494004783449;189.54751176986;324.157687825;1315.58053304653;0.989566190424325;0.811221777637624;0;60;56.3772525702961;61.1942648333953;28.0796804162022;748.695555555556;785;302210961;805;1234;155.044687181566;5.98474778542481;0.000499632273926654;322.123997508408;0.731054080778242;616.882716504951;0.117586999823902;291.474281543276;2145.40686851139;7.29628517437889;11.7249265222813;0.000186956855819645;4.76200528605917;-0.150149529432879;0.91046944903205;78182;691.5395231639;755.321739130435;62668;806.260771047425;825.416827852998;167894;801.014687838755;795.966852057842;6;6;1023.02193094877;29.1666666666667;15.8683822601913;43436;0.904146345596907;13.2862947680814;14.5605835861077;6.89794269771788;7.53486688815427;0.857711981032528;0.915079161997595;1.36640577516138;3.04697199642977;"D20181016";"CBX1 TSA-50nm D20181016";"no"
"20181016_R01-Scene-22-P30-B05_seg_0_cid_6";"20181016_R01.czi";21;6;"TSA-50nm";"hiPS";"CBX1";"ZSD";"no";559410;0.147500113778443;-0.983769946356346;0.102178320016423;-0.988701882796112;-0.143869785792883;0.0420722199477604;0.0266890125476613;0.107229554610387;0.99387600797448;127.670302170176;107.292458630228;77.5407801369891;324.167042494578;554.765905769301;855.372540786156;0.925405840667811;0.811515259860848;0;74;55.8839223467582;65.5438408323055;33.7908850395953;728.418076187412;761;407484356;789;1323;150.756111147111;5.91762346427916;0.000609058944299759;228.463972956176;0.740539182228098;453.280090334863;0.126774727281335;248.127729332809;1584.65638838328;7.1215649701093;11.4353208769564;0.000205844692391596;4.60328688934973;-0.145301784506176;0.899800352914721;101095;670.819892180622;749.496519721578;80189;785.351831298557;791.085664335664;256359;774.582815504819;765.158326497129;10;10;1041.00737396922;27.2;7.34574706888278;50012;0.980956031127841;7.39071622548131;6.0391949506686;6.35896623140711;9.56247835001091;0.854164802890241;0.947427761001064;1.42913446000396;2.94245287204385;"D20181016";"CBX1 TSA-50nm D20181016";"no"
